Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Tput	 Recv#
     [java] 十一月 03, 2014 3:03:24 下午 main.java.ch.ethz.systems.asl.service.db.DBService getConnection
     [java] 資訊: DBCP borrow connection time: 40 ms.
     [java] 十一月 03, 2014 3:03:24 下午 main.java.ch.ethz.systems.asl.service.db.DBService getConnection
     [java] 資訊: DBCP borrow connection time: 117 ms.
     [java] 1000	 49947	 49	 20	 999
     [java] 2000	 98911	 49	 20	 1998
     [java] 3000	 147832	 49	 20	 2998
     [java] 4000	 196390	 49	 20	 3999
     [java] 5000	 244726	 48	 20	 4999
     [java] 6000	 292902	 48	 20	 5998
     [java] 7000	 341195	 48	 20	 6998
     [java] 8000	 389723	 48	 20	 7998
     [java] 9000	 438226	 48	 20	 8998
     [java] 10000	 487272	 48	 20	 9998
     [java] 11000	 536074	 48	 20	 10998
     [java] 12000	 584598	 48	 20	 11998
     [java] 13000	 633575	 48	 20	 12999
     [java] 14000	 682478	 48	 20	 13998
     [java] 15000	 731337	 48	 20	 14999
     [java] 16000	 780161	 48	 20	 15998
     [java] 17000	 829779	 48	 20	 16998
     [java] 18000	 879262	 48	 20	 17998
     [java] 19000	 928502	 48	 20	 18998
     [java] 20000	 978231	 48	 20	 19999
     [java] 21000	 1027534	 48	 20	 20998
     [java] 22000	 1077497	 48	 20	 21998
     [java] 23000	 1127315	 49	 20	 22998
     [java] 24000	 1177435	 49	 20	 23998
     [java] 25000	 1227857	 49	 20	 24998
     [java] 26000	 1278390	 49	 20	 25998
     [java] 27000	 1329193	 49	 20	 26998
     [java] 28000	 1380339	 49	 20	 27998
     [java] 29000	 1432493	 49	 20	 28998
     [java] 30000	 1483591	 49	 20	 29998
     [java] 31000	 1534886	 49	 20	 30998
     [java] 32000	 1587636	 49	 20	 31998
     [java] 33000	 1638873	 49	 20	 32998
     [java] 34000	 1690379	 49	 20	 33998
     [java] 35000	 1742117	 49	 20	 34998
     [java] 36000	 1793168	 49	 20	 35998
     [java] 37000	 1845182	 49	 20	 36998
     [java] 38000	 1896913	 49	 20	 37998
     [java] 39000	 1948932	 49	 20	 38998
     [java] 40000	 2001358	 50	 19	 39999
     [java] 41000	 2053153	 50	 19	 40998
     [java] 42000	 2106157	 50	 19	 41998
     [java] 43000	 2158526	 50	 19	 42998
     [java] 44000	 2211649	 50	 19	 43998
     [java] 45000	 2266726	 50	 19	 44998
