Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 1000	 49035	 49	 20	 996	 83
     [java] 2000	 97073	 48	 20	 1997	 86
     [java] 3000	 145113	 48	 20	 2996	 90
     [java] 4000	 192767	 48	 20	 3997	 93
     [java] 5000	 240411	 48	 20	 4997	 94
     [java] 6000	 288538	 48	 20	 5996	 93
     [java] 7000	 336357	 48	 20	 6996	 94
     [java] 8000	 384149	 48	 20	 7997	 95
     [java] 9000	 432537	 48	 20	 8996	 95
     [java] 10000	 480451	 48	 20	 9996	 96
     [java] 11000	 528624	 48	 20	 10996	 96
     [java] 12000	 576782	 48	 20	 11996	 96
     [java] 13000	 624788	 48	 20	 12996	 96
     [java] 14000	 673056	 48	 20	 13996	 96
     [java] 15000	 721705	 48	 20	 14997	 96
     [java] 16000	 770718	 48	 20	 15997	 96
     [java] 17000	 819481	 48	 20	 16996	 96
     [java] 18000	 868891	 48	 20	 17996	 96
     [java] 19000	 918427	 48	 20	 18996	 96
     [java] 20000	 967983	 48	 20	 19996	 96
     [java] 21000	 1018162	 48	 20	 20996	 96
     [java] 22000	 1068420	 48	 20	 21996	 96
     [java] 23000	 1118166	 48	 20	 22996	 96
     [java] 24000	 1168238	 48	 20	 23996	 96
     [java] 25000	 1218749	 48	 20	 24996	 96
     [java] 26000	 1269859	 48	 20	 25996	 95
     [java] 27000	 1320780	 48	 20	 26996	 95
     [java] 28000	 1371955	 48	 20	 27996	 95
     [java] 29000	 1422799	 49	 20	 28996	 95
     [java] 30000	 1474907	 49	 20	 29997	 95
     [java] 31000	 1526868	 49	 20	 30997	 95
     [java] 32000	 1579046	 49	 20	 31997	 94
     [java] 33000	 1631829	 49	 20	 32996	 94
     [java] 34000	 1683939	 49	 20	 33996	 94
     [java] 35000	 1737401	 49	 20	 34997	 94
     [java] 36000	 1788638	 49	 20	 35996	 94
     [java] 37000	 1839949	 49	 20	 36998	 94
     [java] 38000	 1891148	 49	 20	 37996	 94
     [java] 39000	 1943093	 49	 20	 38996	 94
     [java] 40000	 1996483	 49	 20	 39997	 94
     [java] 41000	 2051470	 50	 19	 40996	 94
     [java] 42000	 2105064	 50	 19	 41996	 93
     [java] 43000	 2158832	 50	 19	 42996	 93
     [java] 44000	 2212967	 50	 19	 43996	 93
     [java] 45000	 2267234	 50	 19	 44996	 93
     [java] 46000	 2327853	 50	 19	 45997	 93
     [java] 47000	 2392020	 50	 19	 46996	 92
