Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 1000	 84221	 84	 11	 979	 66
     [java] 2000	 142955	 71	 14	 1974	 111
     [java] 3000	 198663	 66	 15	 2974	 150
     [java] 4000	 263994	 65	 15	 3972	 181
     [java] 5000	 333811	 66	 15	 4977	 208
     [java] 6000	 406131	 67	 14	 5975	 222
     [java] 7000	 463211	 66	 15	 6975	 241
     [java] 8000	 547105	 68	 14	 7972	 250
     [java] 9000	 635022	 70	 14	 8973	 257
     [java] 10000	 694332	 69	 14	 9973	 270
     [java] 11000	 793619	 72	 13	 10972	 275
     [java] 12000	 901603	 75	 13	 11972	 272
     [java] 13000	 963541	 74	 13	 12971	 282
     [java] 14000	 1084455	 77	 12	 13975	 280
     [java] 15000	 1211690	 80	 12	 14972	 272
     [java] 16000	 1289641	 80	 12	 15972	 275
     [java] 17000	 1405228	 82	 12	 16971	 278
     [java] 18000	 1549812	 86	 11	 17972	 272
     [java] 19000	 1668721	 87	 11	 18973	 271
     [java] 20000	 1786798	 89	 11	 19974	 270
     [java] 21000	 1951850	 92	 10	 20971	 262
     [java] 22000	 2093489	 95	 10	 21972	 258
     [java] 23000	 2210521	 96	 10	 22971	 258
     [java] 24000	 2387666	 99	 10	 23971	 252
     [java] 25000	 2566557	 102	 9	 24971	 247
     [java] 26000	 2734780	 105	 9	 25971	 242
     [java] 27000	 2879529	 106	 9	 26971	 241
     [java] 28000	 3087201	 110	 9	 27971	 235
     [java] 29000	 3299585	 113	 8	 28972	 230
     [java] 30000	 3447248	 114	 8	 29971	 229
     [java] 31000	 3630430	 117	 8	 30971	 226
     [java] 32000	 3856557	 120	 8	 31971	 220
     [java] 33000	 4100489	 124	 8	 32972	 215
     [java] 34000	 4283480	 125	 7	 33971	 213
     [java] 35000	 4661062	 133	 7	 34971	 203
     [java] 36000	 5047467	 140	 7	 35972	 194
     [java] 37000	 5390568	 145	 6	 36971	 188
     [java] 38000	 5663922	 149	 6	 37971	 184
     [java] 39000	 5989026	 153	 6	 38972	 179
     [java] 40000	 6380019	 159	 6	 39971	 173
     [java] 41000	 6814619	 166	 6	 40973	 168
     [java] 42000	 7166863	 170	 5	 41971	 163
     [java] 43000	 7424395	 172	 5	 42971	 162
     [java] 44000	 7860497	 178	 5	 43971	 157
     [java] 45000	 8275861	 183	 5	 44972	 153
     [java] 46000	 8702903	 189	 5	 45971	 149
     [java] 47000	 9114341	 193	 5	 46971	 145
     [java] 48000	 9442551	 196	 5	 47971	 144
     [java] 49000	 9891966	 201	 4	 48971	 140
