Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 1000	 73710	 73	 13	 972	 62
     [java] 2000	 130721	 65	 15	 1970	 111
     [java] 3000	 184320	 61	 16	 2969	 150
     [java] 4000	 245797	 61	 16	 3973	 181
     [java] 5000	 305351	 61	 16	 4971	 208
     [java] 6000	 368318	 61	 16	 5967	 230
     [java] 7000	 424174	 60	 16	 6971	 250
     [java] 8000	 498222	 62	 16	 7971	 258
     [java] 9000	 575392	 63	 15	 8967	 272
     [java] 10000	 634416	 63	 15	 9971	 285
     [java] 11000	 726921	 66	 15	 10968	 282
     [java] 12000	 815785	 67	 14	 11968	 285
     [java] 13000	 877792	 67	 14	 12969	 295
     [java] 14000	 986614	 70	 14	 13972	 291
     [java] 15000	 1085819	 72	 13	 14967	 294
     [java] 16000	 1162723	 72	 13	 15970	 296
     [java] 17000	 1285451	 75	 13	 16968	 293
     [java] 18000	 1389856	 77	 12	 17968	 290
     [java] 19000	 1470965	 77	 12	 18969	 296
     [java] 20000	 1598621	 79	 12	 19970	 289
     [java] 21000	 1726372	 82	 12	 20968	 287
     [java] 22000	 1857975	 84	 11	 21968	 282
     [java] 23000	 1968293	 85	 11	 22970	 283
     [java] 24000	 2111416	 87	 11	 23967	 279
     [java] 25000	 2272702	 90	 11	 24967	 271
     [java] 26000	 2388228	 91	 10	 25967	 270
     [java] 27000	 2533417	 93	 10	 26967	 267
     [java] 28000	 2719089	 97	 10	 27968	 261
     [java] 29000	 2879001	 99	 10	 28968	 256
     [java] 30000	 3009260	 100	 9	 29967	 256
     [java] 31000	 3218496	 103	 9	 30970	 250
     [java] 32000	 3417308	 106	 9	 31969	 244
     [java] 33000	 3580395	 108	 9	 32968	 242
     [java] 34000	 3728740	 109	 9	 33968	 241
     [java] 35000	 3928622	 112	 8	 34967	 236
     [java] 36000	 4197278	 116	 8	 35967	 229
     [java] 37000	 4527862	 122	 8	 36967	 218
     [java] 38000	 4761952	 125	 7	 37968	 214
     [java] 39000	 5070523	 130	 7	 38969	 208
     [java] 40000	 5462248	 136	 7	 39968	 200
     [java] 41000	 5785171	 141	 7	 40967	 194
     [java] 42000	 6149380	 146	 6	 41967	 188
     [java] 43000	 6422212	 149	 6	 42967	 185
     [java] 44000	 6761044	 153	 6	 43967	 180
     [java] 45000	 7176108	 159	 6	 44968	 174
     [java] 46000	 7572129	 164	 6	 45967	 169
     [java] 47000	 7935579	 168	 5	 46968	 166
     [java] 48000	 8244380	 171	 5	 47967	 163
     [java] 49000	 8626184	 176	 5	 48969	 159
     [java] 50000	 9022678	 180	 5	 49967	 156
     [java] 51000	 9516021	 186	 5	 50967	 151
     [java] 52000	 9936510	 191	 5	 51967	 148
     [java] 53000	 10352782	 195	 5	 52968	 145
     [java] 54000	 10674278	 197	 5	 53967	 144
     [java] 55000	 11111683	 202	 4	 54967	 141
     [java] 56000	 11623719	 207	 4	 55967	 137
