Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Tput	 Recv#
     [java] 十一月 03, 2014 1:23:21 下午 main.java.ch.ethz.systems.asl.service.db.DBService getConnection
     [java] 資訊: DBCP borrow connection time: 109 ms.
     [java] 1000	 48808	 48	 20	 1000
     [java] 2000	 96216	 48	 20	 2000
     [java] 3000	 143340	 47	 20	 3000
     [java] 4000	 190844	 47	 21	 4000
     [java] 5000	 238319	 47	 21	 5000
     [java] 6000	 285779	 47	 21	 6000
     [java] 7000	 333489	 47	 21	 7000
     [java] 8000	 381229	 47	 20	 8000
     [java] 9000	 428832	 47	 21	 9000
     [java] 10000	 476870	 47	 21	 10000
     [java] 11000	 525186	 47	 20	 11000
     [java] 12000	 573624	 47	 20	 12000
     [java] 13000	 622291	 47	 20	 13000
     [java] 14000	 671048	 47	 20	 14000
     [java] 15000	 719607	 47	 20	 15000
     [java] 16000	 768428	 48	 20	 16000
     [java] 17000	 817285	 48	 20	 17000
     [java] 18000	 866196	 48	 20	 18000
     [java] 19000	 915255	 48	 20	 19000
     [java] 20000	 964794	 48	 20	 20000
     [java] 21000	 1014174	 48	 20	 21000
     [java] 22000	 1063731	 48	 20	 22000
     [java] 23000	 1113261	 48	 20	 23000
     [java] 24000	 1162999	 48	 20	 24000
     [java] 25000	 1212918	 48	 20	 25000
     [java] 26000	 1263050	 48	 20	 26000
     [java] 27000	 1313042	 48	 20	 27000
     [java] 28000	 1363114	 48	 20	 28000
     [java] 29000	 1413326	 48	 20	 29000
     [java] 30000	 1463928	 48	 20	 30000
     [java] 31000	 1514693	 48	 20	 31000
     [java] 32000	 1565568	 48	 20	 32000
     [java] 33000	 1616504	 48	 20	 33000
     [java] 34000	 1667630	 49	 20	 34000
     [java] 35000	 1719091	 49	 20	 35000
     [java] 36000	 1770045	 49	 20	 36000
     [java] 37000	 1821076	 49	 20	 37000
     [java] 38000	 1872224	 49	 20	 38000
     [java] 39000	 1923769	 49	 20	 39000
     [java] 40000	 1974229	 49	 20	 40000
