     [java] ########## Client Send Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 5782	 17730	 3	 340	 5783	 3
     [java] 5782	 1772247	 306	 3	 5783	 3
     [java] 5697	 19679	 3	 299	 5698	 3
     [java] 5697	 1770404	 310	 3	 5698	 3
     [java] 5744	 17773	 3	 337	 5745	 3
     [java] 5783	 17788	 3	 340	 5784	 3
     [java] 5783	 1771887	 306	 3	 5784	 3
     [java] 5749	 18777	 3	 319	 5750	 3
     [java] 5749	 1771196	 308	 3	 5750	 3
     [java] 5788	 17769	 3	 340	 5789	 3
     [java] 5788	 1772357	 306	 3	 5789	 3
     [java] 5742	 17726	 3	 337	 5743	 3
     [java] 5742	 1772085	 308	 3	 5743	 3
     [java] 5785	 17908	 3	 340	 5786	 3
     [java] 5785	 1772087	 306	 3	 5786	 3
     [java] 5776	 18820	 3	 320	 5777	 3
     [java] 5786	 17877	 3	 340	 5787	 3
     [java] 5776	 1771102	 306	 3	 5777	 3
     [java] 5761	 17936	 3	 338	 5762	 3
     [java] 5760	 1771637	 307	 3	 5761	 3
     [java] 5752	 17651	 3	 338	 5753	 3
     [java] 5752	 1772090	 308	 3	 5753	 3
     [java] 5737	 17817	 3	 337	 5738	 3
     [java] 5737	 1772612	 308	 3	 5738	 3
     [java] 5787	 17867	 3	 340	 5788	 3
     [java] 5786	 1772168	 306	 3	 5787	 3
     [java] 5737	 17757	 3	 337	 5738	 3
     [java] 5737	 1772559	 308	 3	 5738	 3
     [java] 5737	 17715	 3	 337	 5738	 3
     [java] 5737	 1772459	 308	 3	 5738	 3
     [java] 5688	 18653	 3	 316	 5689	 3
     [java] 5687	 1770664	 311	 3	 5688	 3
     [java] 5790	 17739	 3	 340	 5791	 3
     [java] 5789	 1771656	 306	 3	 5790	 3
     [java] 5743	 1771608	 308	 3	 5744	 3
     [java] 5730	 19027	 3	 301	 5731	 3
     [java] 5729	 1770547	 309	 3	 5730	 3
     [java] 5750	 19020	 3	 302	 5751	 3
     [java] 5749	 1770669	 307	 3	 5750	 3


BUILD SUCCESSFUL
Total time: 30 minutes 8 seconds

BUILD SUCCESSFUL
Total time: 30 minutes 8 seconds
