     [java] ########## Client Send Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 5897	 20162	 3	 294	 5898	 3
     [java] 5982	 20685	 3	 299	 5983	 3
     [java] 5983	 21704	 3	 284	 5984	 3
     [java] 5981	 1770063	 295	 3	 5982	 3
     [java] 5954	 19296	 3	 313	 5955	 3
     [java] 5937	 20334	 3	 296	 5938	 3
     [java] 5936	 1772362	 298	 3	 5937	 3
     [java] 5949	 19127	 3	 313	 5950	 3
     [java] 5997	 19401	 3	 315	 5998	 3
     [java] 5937	 20159	 3	 296	 5938	 3
     [java] 5947	 19163	 3	 313	 5948	 3
     [java] 5967	 19340	 3	 314	 5968	 3
     [java] 5966	 1771219	 296	 3	 5967	 3
     [java] 5965	 19459	 3	 313	 5966	 3
     [java] 5964	 1771270	 296	 3	 5965	 3
     [java] 5946	 19149	 3	 312	 5947	 3
     [java] 5946	 1774775	 298	 3	 5947	 3
     [java] 5953	 19205	 3	 313	 5954	 3
     [java] 5952	 1771460	 297	 3	 5953	 3
     [java] 5946	 20439	 3	 297	 5947	 3
     [java] 5946	 1774403	 298	 3	 5947	 3
     [java] 5981	 19428	 3	 314	 5982	 3
     [java] 5980	 1771319	 296	 3	 5981	 3
     [java] 5987	 20485	 3	 299	 5988	 3
     [java] 5986	 1771288	 295	 3	 5987	 3
     [java] 5938	 20183	 3	 296	 5939	 3
     [java] 5937	 1770439	 298	 3	 5938	 3
     [java] 5969	 19304	 3	 314	 5970	 3
     [java] 5968	 1771354	 296	 3	 5969	 3
     [java] 5974	 19260	 3	 314	 5975	 3
     [java] 5974	 1771796	 296	 3	 5975	 3
     [java] 5897	 1774375	 300	 3	 5898	 3
     [java] 5982	 1768931	 295	 3	 5983	 3
     [java] 5954	 1771848	 297	 3	 5955	 3
     [java] 5936	 1771881	 298	 3	 5937	 3
     [java] 5947	 1775509	 298	 3	 5948	 3
     [java] 5997	 1774440	 295	 3	 5998	 3



BUILD SUCCESSFUL
Total time: 30 minutes 9 seconds

BUILD SUCCESSFUL
Total time: 30 minutes 9 seconds
